agent,model,n_rows,n_scored,eval_score,meal_inference_score,ingredients_inference_score,avg_input_tokens,avg_output_tokens,p50_latency_ms
mealAnalysis,gpt-4.1,72,72,70.15,50.0,51.1,361.0,200.54,3921.73
mealAnalysis,gpt-4.1-mini,72,72,59.25,36.11,42.42,522.0,199.69,4527.3
mealAnalysis,gpt-4o,72,72,60.4,47.22,40.13,361.0,178.62,7381.98
mealAnalysis,gpt-5,72,72,64.69,43.06,51.92,315.0,245.21,5874.02
mealAnalysis,gpt-5-mini,72,72,52.67,33.33,44.45,413.0,267.1,5330.76
mealAnalysis,gpt-5.2,72,72,57.16,26.39,43.92,413.0,237.0,4131.48
mealAnalysis,gpt-5.2-pro,72,72,59.05,30.56,46.89,413.0,373.19,23961.46
